train_or_test,model_id,algorithm,run,file_id,project_name,G,precision,fn,accuracy,fp,balance,fpr,f1,fnr,MCC,tpr,tnr,tn,tp
train,model117,ibea,3,Eclipse_all,Eclipse,0.6881743580005787,0.4393305439330544,4166.0,0.8916056059874998,5494.0,0.4982425667668612,0.06812320206328737,0.47126436781609193,0.49179553771691653,0.41258628354279525,0.5082044622830835,0.9318767979367126,75154.0,4305.0
test,model118,ibea,3,Eclipse_all,Eclipse,0.5393106126052359,0.19555922650859975,750.0,0.4095307841188471,33114.0,0.5862380002156027,0.6820456839200016,0.3222320070450725,0.08522727272727272,0.18635682805594414,0.9147727272727273,0.31795431607999836,15437.0,8050.0
train,model118,ibea,3,Eclipse_all,Eclipse,0.6968773081947498,0.17130005332838694,1083.0,0.5867996723482086,35741.0,0.4802318727480447,0.44317280031742884,0.28635658914728684,0.12784795183567466,0.2517584325905508,0.8721520481643253,0.5568271996825712,44907.0,7388.0
test,model119,ibea,3,Eclipse_all,Eclipse,0.6601577359427548,0.24014496439471006,1246.0,0.56150720998762,23902.0,0.5060947658599144,0.4923070585569813,0.3752980922098569,0.1415909090909091,0.2651446447217043,0.8584090909090909,0.5076929414430187,24649.0,7554.0
train,model119,ibea,3,Eclipse_all,Eclipse,0.7365457940610877,0.23561527143189034,2386.0,0.7517140003815124,19741.0,0.43195293214711766,0.24477978375161194,0.3548415313292708,0.2816668634163617,0.3061446283575517,0.7183331365836383,0.7552202162483881,60907.0,6085.0
test,model12,ibea,3,Eclipse_all,Eclipse,0.4350628994446586,0.17726551760600615,418.0,0.3143798713187216,38903.0,0.6335170849979489,0.8012811270622644,0.298903450120353,0.0475,0.1432703305704709,0.9525,0.19871887293773557,9648.0,8382.0
train,model12,ibea,3,Eclipse_all,Eclipse,0.5855373904866226,0.13498807644510127,433.0,0.4171725445752309,51508.0,0.5660030627279418,0.638676718579506,0.23635267653674819,0.05111557077086531,0.19321584658243343,0.9488844292291347,0.361323281420494,29140.0,8038.0
test,model120,ibea,3,Eclipse_all,Eclipse,0.17577351960545962,0.15671441120054497,58.0,0.1787588708130634,47041.0,0.6960320038784495,0.968898683858211,0.27072139727172784,0.006590909090909091,0.05417101673936143,0.9934090909090909,0.031101316141789046,1510.0,8742.0
train,model120,ibea,3,Eclipse_all,Eclipse,0.4181428911631346,0.11188436830835118,111.0,0.25413211548603554,66360.0,0.6414590265582595,0.8228350362067255,0.2009832794412857,0.013103529689528982,0.13073324699137015,0.986896470310471,0.17716496379327448,14288.0,8360.0
test,model13,ibea,3,Eclipse_all,Eclipse,0.7306446420809151,0.3648566198901769,2820.0,0.7693152691321861,10410.0,0.43907298253263344,0.21441370929538012,0.47479158396188964,0.32045454545454544,0.3710578764366625,0.6795454545454546,0.7855862907046199,38141.0,5980.0
